╔═══════════════════════════════════════════════════════════════════╗
║  Aurora MySQL vs PostgreSQL — 30-Minute Stress Test             ║
║  Instance: db.r7g.4xlarge | 1 Writer + 2 Readers per engine    ║
║  Rates: 200 400 1000 MB/s | Duration: 240s per test         ║
║  Started: Thu Mar 12 04:12:45 UTC 2026                               ║
╚═══════════════════════════════════════════════════════════════════╝

Checking connectivity...
  PG Writer: OK
  PG Reader: OK
  MySQL Writer: OK
  MySQL Reader: OK

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  TESTING AT 200 MB/s
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

>>> postgresql @ 200 MB/s (240s)

[2026-03-12T04:12:45.755056] Starting postgresql benchmark at 200 MB/s with 16 workers for 240s
[PostgreSQL] Created benchmark_data on aurora-bench-pg.cluster-chmyywwu8h83.us-east-2.rds.amazonaws.com

==========================================================================================
  POSTGRESQL BENCHMARK  |  Target: 200 MB/s  |  Duration: 240s
==========================================================================================
  Time |  Instant MB/s |   Avg MB/s |     Rows/s |    Total Rows |  Total GB |  Errors
  147s |      117.8 MB/s |   102.5 MB/s |    105,000 |    13,425,000 |   14.71 GB |       0
  148s |      117.9 MB/s |   102.6 MB/s |    105,000 |    13,530,000 |   14.83 GB |       0
  149s |       89.8 MB/s |   102.5 MB/s |     80,000 |    13,610,000 |   14.92 GB |       0
  150s |       89.8 MB/s |   102.4 MB/s |     80,000 |    13,690,000 |   15.01 GB |       0
  151s |       89.8 MB/s |   102.3 MB/s |     80,000 |    13,770,000 |   15.09 GB |       0
  152s |       89.8 MB/s |   102.3 MB/s |     80,000 |    13,850,000 |   15.18 GB |       0
  153s |      101.0 MB/s |   102.2 MB/s |     90,000 |    13,940,000 |   15.28 GB |       0
  154s |       78.6 MB/s |   102.1 MB/s |     70,000 |    14,010,000 |   15.36 GB |       0
  155s |      134.7 MB/s |   102.3 MB/s |    120,000 |    14,130,000 |   15.49 GB |       0
  156s |      134.7 MB/s |   102.5 MB/s |    120,000 |    14,250,000 |   15.62 GB |       0
  157s |       89.8 MB/s |   102.4 MB/s |     80,000 |    14,330,000 |   15.71 GB |       0
  158s |      106.6 MB/s |   102.5 MB/s |     95,000 |    14,425,000 |   15.81 GB |       0
  159s |       89.8 MB/s |   102.4 MB/s |     80,000 |    14,505,000 |   15.90 GB |       0
  160s |       89.8 MB/s |   102.3 MB/s |     80,000 |    14,585,000 |   15.99 GB |       0
  161s |       89.8 MB/s |   102.2 MB/s |     80,000 |    14,665,000 |   16.07 GB |       0
  162s |       89.8 MB/s |   102.1 MB/s |     80,000 |    14,745,000 |   16.16 GB |       0
  163s |      123.5 MB/s |   102.3 MB/s |    110,000 |    14,855,000 |   16.28 GB |       0
  164s |      106.6 MB/s |   102.3 MB/s |     95,000 |    14,950,000 |   16.39 GB |       0
  165s |       95.4 MB/s |   102.3 MB/s |     85,000 |    15,035,000 |   16.48 GB |       0
  166s |       89.8 MB/s |   102.2 MB/s |     80,000 |    15,115,000 |   16.57 GB |       0
  167s |      101.0 MB/s |   102.2 MB/s |     90,000 |    15,205,000 |   16.67 GB |       0
  168s |       84.2 MB/s |   102.1 MB/s |     75,000 |    15,280,000 |   16.75 GB |       0
  169s |      162.7 MB/s |   102.4 MB/s |    145,000 |    15,425,000 |   16.91 GB |       0
  170s |      101.0 MB/s |   102.4 MB/s |     90,000 |    15,515,000 |   17.01 GB |       0
  171s |       89.8 MB/s |   102.3 MB/s |     80,000 |    15,595,000 |   17.09 GB |       0
  172s |       89.8 MB/s |   102.3 MB/s |     80,000 |    15,675,000 |   17.18 GB |       0
  173s |       95.4 MB/s |   102.2 MB/s |     85,000 |    15,760,000 |   17.27 GB |       0
  174s |       84.2 MB/s |   102.1 MB/s |     75,000 |    15,835,000 |   17.36 GB |       0
  175s |      145.9 MB/s |   102.4 MB/s |    130,000 |    15,965,000 |   17.50 GB |       0
  176s |       56.1 MB/s |   102.1 MB/s |     50,000 |    16,015,000 |   17.55 GB |       0
  177s |      106.6 MB/s |   102.1 MB/s |     95,000 |    16,110,000 |   17.66 GB |       0
  178s |      145.9 MB/s |   102.4 MB/s |    130,000 |    16,240,000 |   17.80 GB |       0
